Cas-nr,PubChem CID
141-82-2,867
142-29-0,8882
142-47-2,23672308
142-82-5,8900
142-96-1,8909
143-07-7,3893
143-33-9,8929
144-55-8,516892
147-71-7,439655
147-85-3,145742
148-24-3,1923
149-32-6,222285
149-91-7,370
150-13-0,978
150-25-4,8761
150-30-1,994
151-21-3,3423265
151-50-8,9032
154-87-0,9068
156-06-9,997
244-63-3,64961
274-09-9,9229
285-67-6,9244
285-69-8,67511
286-20-4,9246
286-45-3,67512
286-62-4,67513
288-32-4,795
298-14-6,516893
298-83-9,9281
299-11-6,9285
299-27-4,16760467
300-57-2,9309
300-84-5,107812
302-01-2,9321
305-72-6,31040
306-08-1,1738
312-84-5,71077
327-57-1,21236
328-50-7,51
329-63-5,5924
329-98-6,4784
331-39-5,689043
334-48-5,2969
338-69-2,71080
340-05-6,95556
350-92-5,222958
361-09-1,23668194
367-51-1,23690444
371-47-1,6364608
389-08-2,4421
404-86-4,1548943
405-99-2,67883
407-25-0,9845
429-41-4,2724141
430-51-3,9889
434-45-7,9905
442-51-3,5280953
443-48-1,4173
445-27-2,96744
453-17-8,79014
455-36-7,9967
456-04-2,120248
458-37-7,969516
459-56-3,68022
462-94-2,273
464-45-9,1201518
464-49-3,159055
471-34-1,10112
477-73-6,2723800
481-39-0,3806
482-89-3,10215
485-47-2,10236
487-21-8,10250
487-36-5,73399
488-81-3,6912
488-82-4,94154
492-41-1,10297
492-70-6,95447
492-80-8,10298
495-40-9,10315
496-15-1,10328
497-03-0,5321950
497-09-6,439723
497-19-8,10340
497-23-4,10341
498-00-0,62348
498-02-2,2214
501-52-0,107
501-92-8,68148
501-97-3,10394
501-98-4,637542
504-02-9,10434
505-95-3,79034
506-87-6,517111
513-77-9,10563
521-18-6,10635
523-44-4,135513128
524-42-5,10667
527-73-1,10701
528-50-7,10712
530-59-6,637775
531-05-5,269271
533-67-5,5460005
535-75-1,849
536-60-7,325
536-75-4,10822
537-33-7,5280507
537-98-4,445858
538-74-9,10867
540-69-2,2723923
540-72-7,516871
541-47-9,10931
541-48-0,10932
543-49-7,10976
544-10-5,10992
544-92-3,11009
548-62-9,11057
552-41-0,11092
553-24-2,11105
555-16-8,541
556-50-3,11163
556-52-5,11164
557-24-4,5280451
558-13-4,11205
563-41-7,11236
563-46-2,11240
563-79-1,11250
573-58-0,11313
577-11-7,23673837
577-76-4,122158
579-43-1,853018
584-08-7,11430
589-29-7,11506
590-28-3,11378442
590-29-4,2735122
590-46-5,11545
591-27-5,11568
592-41-6,11597
592-76-7,11610
597-12-6,92817
598-56-1,11723
600-14-6,11747
600-18-0,58
600-22-6,11748
603-35-0,11776
604-44-4,11787
605-94-7,69068
606-68-8,2724710
608-66-2,11850
609-06-3,95259
611-71-2,11914
612-14-6,69153
612-42-0,69161
613-87-6,2734864
614-19-7,69189
